numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;pres;rafper;per;rr1;rr3;rr6;phenspe1;phenspe2;
07005;20130101000000;100290.0;-50.0;8.0;200.0;6.7;281.65;280.45;92.0;99400.0;11.3;-10.0;0.6;1.0;3.0;710.0;1111.0;
07015;20130101000000;100270.0;-80.0;6.0;210.0;8.7;281.45;280.05;91.0;99700.0;15.4;-10.0;0.6;2.0;4.0;710.0;1115.0;
07020;20130101000000;100350.0;40.0;3.0;260.0;7.7;284.15;281.85;86.0;100090.0;11.8;-10.0;0.0;0.0;0.0;710.0;1112.0;
07027;20130101000000;100370.0;-60.0;6.0;220.0;4.6;282.35;280.95;91.0;99560.0;8.7;-10.0;0.0;1.0;6.0;710.0;1109.0;
07037;20130101000000;100440.0;-90.0;8.0;210.0;7.7;280.85;279.75;93.0;98610.0;10.3;-10.0;0.8;2.0;2.0;710.0;1110.0;
07072;20130101000000;100760.0;-100.0;8.0;200.0;4.1;280.75;277.65;81.0;99610.0;8.7;-10.0;0.6;0.6;0.6;710.0;1109.0;
07110;20130101000000;100640.0;120.0;2.0;300.0;3.6;282.15;281.05;93.0;99500.0;7.2;-10.0;0.2;0.2;0.2;710.0;1107.0;
07117;20130101000000;100500.0;80.0;3.0;280.0;5.7;282.65;281.05;90.0;99800.0;10.3;-10.0;0.0;0.6;2.0;710.0;1110.0;
07130;20130101000000;100570.0;60.0;3.0;240.0;3.1;282.55;281.65;94.0;100050.0;5.1;-10.0;0.0;1.0;12.0;710.0;1105.0;
07139;20130101000000;100490.0;-140.0;6.0;200.0;5.7;281.05;280.25;95.0;98760.0;11.3;-10.0;1.0;5.0;6.0;710.0;1111.0;
07149;20130101000000;100680.0;-140.0;8.0;200.0;6.2;280.75;279.25;90.0;99590.0;10.8;-10.0;0.8;2.0;2.0;710.0;1111.0;
07168;20130101000000;100930.0;-130.0;6.0;180.0;5.1;279.85;276.05;77.0;99490.0;9.8;-10.0;0.0;0.0;0.0;710.0;1110.0;
07181;20130101000000;101060.0;-170.0;7.0;180.0;5.7;278.25;273.85;73.0;96920.0;9.8;-10.0;0.0;0.0;0.0;710.0;1110.0;
07190;20130101000000;101160.0;-190.0;6.0;180.0;4.6;278.15;274.05;75.0;99310.0;6.7;-10.0;0.0;0.0;0.0;710.0;1107.0;
07207;20130101000000;100760.0;110.0;3.0;290.0;4.6;284.35;282.75;90.0;100240.0;10.3;-10.0;0.0;2.0;5.0;710.0;1110.0;
07222;20130101000000;100660.0;10.0;3.0;240.0;2.1;282.95;282.65;98.0;100350.0;4.6;-10.0;0.6;7.0;12.0;710.0;1105.0;
07240;20130101000000;100770.0;-140.0;8.0;190.0;5.7;281.15;280.05;93.0;99420.0;10.3;-10.0;3.0;6.0;6.0;710.0;1110.0;
07255;20130101000000;101060.0;-120.0;6.0;210.0;3.6;280.75;278.25;84.0;99050.0;5.7;-10.0;0.4;0.4;0.4;710.0;1106.0;
07280;20130101000000;101280.0;-140.0;7.0;190.0;2.1;275.85;274.05;88.0;98490.0;3.1;-10.0;0.0;0.0;0.0;710.0;1103.0;
07299;20130101000000;101390.0;-170.0;6.0;200.0;2.1;273.95;271.85;86.0;98020.0;5.7;-10.0;0.0;0.0;0.0;710.0;1106.0;
07314;20130101000000;100900.0;20.0;3.0;270.0;9.8;285.35;283.45;88.0;100620.0;22.6;-10.0;0.0;1.0;4.0;710.0;1123.0;
07335;20130101000000;100870.0;-170.0;8.0;180.0;8.7;280.95;279.75;92.0;99420.0;16.5;-10.0;1.0;2.0;2.0;710.0;1116.0;
07434;20130101000000;101270.0;-100.0;7.0;180.0;8.2;279.35;276.35;81.0;96440.0;13.9;-10.0;0.0;0.0;0.0;710.0;1114.0;
07460;20130101000000;101220.0;-80.0;8.0;180.0;11.3;281.35;273.85;59.0;97320.0;16.5;-10.0;0.0;0.0;0.0;710.0;1116.0;
07481;20130101000000;101440.0;-130.0;8.0;190.0;10.8;282.65;276.35;65.0;98560.0;21.1;-10.0;0.0;0.0;0.0;1016.0;710.0;
07510;20130101000000;101300.0;-40.0;6.0;190.0;5.1;281.75;281.35;97.0;100720.0;8.7;-10.0;1.0;2.0;2.0;710.0;1109.0;
07535;20130101000000;101500.0;-10.0;7.0;160.0;3.6;280.95;277.15;77.0;98350.0;6.7;-10.0;0.2;0.2;0.2;710.0;1107.0;
07558;20130101000000;101590.0;-110.0;6.0;140.0;5.7;278.65;276.15;84.0;93160.0;16.5;-10.0;0.0;0.0;0.0;710.0;1116.0;
07577;20130101000000;101810.0;-120.0;8.0;170.0;3.1;280.25;278.25;87.0;100900.0;5.1;-10.0;0.0;0.0;0.0;710.0;1105.0;
07607;20130101000000;101480.0;-30.0;5.0;140.0;1.0;280.95;279.55;91.0;100760.0;4.6;-10.0;0.6;2.0;2.0;710.0;1105.0;
07621;20130101000000;101590.0;80.0;0.0;190.0;1.5;278.95;277.25;89.0;97200.0;2.6;-10.0;0.0;0.0;0.0;710.0;1103.0;
07627;20130101000000;101670.0;90.0;1.0;0.0;0.0;275.05;273.45;89.0;96650.0;2.1;-10.0;0.0;0.0;0.0;710.0;1102.0;
07630;20130101000000;101550.0;40.0;2.0;170.0;2.6;281.85;279.25;84.0;99730.0;5.7;-10.0;0.0;0.0;0.0;710.0;1106.0;
07643;20130101000000;101710.0;-140.0;8.0;50.0;4.6;281.15;279.65;90.0;101610.0;8.2;-10.0;0.0;0.0;0.0;710.0;1108.0;
07650;20130101000000;101860.0;-140.0;7.0;90.0;5.1;283.35;279.45;77.0;101470.0;6.7;-10.0;0.0;0.0;0.0;710.0;1107.0;
07661;20130101000000;101970.0;-100.0;7.0;150.0;4.6;283.35;279.85;79.0;100350.0;7.2;-10.0;0.0;0.0;0.0;710.0;1107.0;
07690;20130101000000;102040.0;-140.0;8.0;330.0;5.7;279.15;273.85;69.0;101720.0;7.2;-10.0;0.0;0.0;0.0;710.0;1107.0;
07747;20130101000000;101380.0;-130.0;6.0;260.0;2.1;278.05;277.05;93.0;100840.0;4.1;-10.0;0.0;0.0;0.0;710.0;1104.0;
07761;20130101000000;102080.0;-100.0;8.0;30.0;4.1;279.25;276.55;83.0;101970.0;6.2;-10.0;0.0;0.0;0.0;710.0;1106.0;
07790;20130101000000;102060.0;-120.0;8.0;170.0;1.5;280.75;277.35;79.0;101910.0;4.1;-10.0;0.0;0.0;0.0;710.0;1104.0;
