numer_sta;date;ff;w1;sw
07005;20130101000000;1.71;nan;nan
07015;20130101000000;3.709999999999999;2.09;nan
07020;20130101000000;2.71;2.09;nan
07027;20130101000000;-0.39000000000000057;nan;nan
07037;20130101000000;2.71;nan;nan
07072;20130101000000;-0.8900000000000006;nan;nan
07110;20130101000000;-1.3900000000000001;4.09;nan
07117;20130101000000;0.71;nan;nan
07130;20130101000000;-1.8900000000000001;nan;nan
07139;20130101000000;0.71;nan;nan
07149;20130101000000;1.21;2.09;nan
07168;20130101000000;0.10999999999999943;nan;nan
07181;20130101000000;0.71;nan;nan
07190;20130101000000;-0.39000000000000057;nan;nan
07207;20130101000000;-0.39000000000000057;nan;nan
07222;20130101000000;-2.89;2.09;nan
07240;20130101000000;0.71;2.09;nan
07255;20130101000000;-1.3900000000000001;nan;nan
07280;20130101000000;-2.89;nan;nan
07299;20130101000000;-2.89;-2.91;nan
07314;20130101000000;4.8100000000000005;nan;nan
07335;20130101000000;3.709999999999999;nan;nan
07434;20130101000000;3.209999999999999;nan;nan
07460;20130101000000;6.3100000000000005;-2.91;nan
07471;20130101000000;3.709999999999999;nan;nan
07481;20130101000000;5.8100000000000005;-2.91;nan
07510;20130101000000;0.10999999999999943;nan;nan
07535;20130101000000;-1.3900000000000001;nan;nan
07558;20130101000000;0.71;nan;nan
07577;20130101000000;-1.8900000000000001;nan;nan
07591;20130101000000;-1.3900000000000001;nan;nan
07607;20130101000000;-3.99;nan;nan
07621;20130101000000;-3.49;nan;nan
07627;20130101000000;-4.99;nan;nan
07630;20130101000000;-2.39;nan;nan
07643;20130101000000;-0.39000000000000057;nan;nan
07650;20130101000000;0.10999999999999943;nan;nan
07661;20130101000000;-0.39000000000000057;nan;nan
07690;20130101000000;0.71;-2.91;nan
07747;20130101000000;-2.89;nan;nan
07761;20130101000000;-0.8900000000000006;nan;nan
07790;20130101000000;-3.49;nan;nan
61968;20130101000000;-4.49;nan;nan
61970;20130101000000;-4.99;nan;nan
61972;20130101000000;-3.49;nan;nan
61976;20130101000000;nan;nan;nan
61980;20130101000000;1.21;-2.91;nan
61996;20130101000000;7.91;nan;nan
61997;20130101000000;4.3100000000000005;nan;nan
